QSPRID	pchembl_value_median_Label	pchembl_value_median_Prediction	Fold
NR3C2_KiIC50_train_057	6.75	6.42863	0.0
NR3C2_KiIC50_train_763	6.36	5.54619	0.0
NR3C2_KiIC50_train_708	7.21	7.13135	0.0
NR3C2_KiIC50_train_391	5.775	6.52503	0.0
NR3C2_KiIC50_train_007	5.82	6.18262	0.0
NR3C2_KiIC50_train_110	6.6	5.83891	0.0
NR3C2_KiIC50_train_226	7.24	6.14824	0.0
NR3C2_KiIC50_train_058	6.89	6.44342	0.0
NR3C2_KiIC50_train_268	5.97	6.04189	0.0
NR3C2_KiIC50_train_606	6.92	6.2646	1.0
NR3C2_KiIC50_train_383	5.28	5.92602	1.0
NR3C2_KiIC50_train_036	6.26	6.31552	1.0
NR3C2_KiIC50_train_557	6.21	6.30381	1.0
NR3C2_KiIC50_train_349	6.155	6.99732	1.0
NR3C2_KiIC50_train_032	7.33	6.84583	1.0
NR3C2_KiIC50_train_711	6.5	6.92207	1.0
NR3C2_KiIC50_train_110	6.6	6.06338	1.0
NR3C2_KiIC50_train_486	7.265	6.99048	1.0
NR3C2_KiIC50_train_452	7.38	6.31768	1.0
NR3C2_KiIC50_train_366	6.38	6.24618	1.0
NR3C2_KiIC50_train_384	5.92	5.94336	1.0
NR3C2_KiIC50_train_508	6.03	5.81638	1.0
NR3C2_KiIC50_train_064	7.51	7.30689	1.0
NR3C2_KiIC50_train_778	6.76	6.24974	1.0
NR3C2_KiIC50_train_296	7.24	7.01379	1.0
NR3C2_KiIC50_train_737	6.65	6.31101	1.0
NR3C2_KiIC50_train_249	5.89	6.57823	1.0
NR3C2_KiIC50_train_664	7.8	7.17916	1.0
NR3C2_KiIC50_train_546	7.55	7.3488	1.0
NR3C2_KiIC50_train_582	5.83	6.12072	1.0
NR3C2_KiIC50_train_184	7.5	6.42155	1.0
NR3C2_KiIC50_train_593	7.16	7.32997	1.0
NR3C2_KiIC50_train_660	7.4	6.16159	1.0
NR3C2_KiIC50_train_053	5.69	5.69676	1.0
NR3C2_KiIC50_train_712	6.57	6.64073	1.0
NR3C2_KiIC50_train_393	6.23	5.95813	1.0
NR3C2_KiIC50_train_630	5.18	5.97131	1.0
NR3C2_KiIC50_train_322	7.44	7.12146	1.0
NR3C2_KiIC50_train_580	7.875	7.17759	1.0
NR3C2_KiIC50_train_398	6.5	6.0873	1.0
NR3C2_KiIC50_train_344	6.42	6.05495	1.0
NR3C2_KiIC50_train_003	6.04	6.36216	1.0
NR3C2_KiIC50_train_458	5.8	5.50811	1.0
NR3C2_KiIC50_train_231	5.42	6.21521	1.0
NR3C2_KiIC50_train_560	6.56	6.41636	1.0
NR3C2_KiIC50_train_019	6.05	6.52834	1.0
NR3C2_KiIC50_train_283	6.05	5.5705	1.0
NR3C2_KiIC50_train_219	5.41	5.81648	1.0
NR3C2_KiIC50_train_111	7.13	6.28536	1.0
NR3C2_KiIC50_train_495	6.295	6.97883	1.0
NR3C2_KiIC50_train_608	7.905	7.64411	1.0
NR3C2_KiIC50_train_116	6.81	7.4828	1.0
NR3C2_KiIC50_train_292	7.11	7.21839	1.0
NR3C2_KiIC50_train_020	6.07	6.45972	1.0
NR3C2_KiIC50_train_722	6.77	6.40716	1.0
NR3C2_KiIC50_train_041	6.24	5.82751	1.0
NR3C2_KiIC50_train_212	6.72	6.7421	1.0
NR3C2_KiIC50_train_538	8.05	7.9213	1.0
NR3C2_KiIC50_train_375	8.68	6.23999	1.0
NR3C2_KiIC50_train_473	6.89	6.79939	1.0
NR3C2_KiIC50_train_670	5.8	7.11889	1.0
NR3C2_KiIC50_train_268	5.97	6.36235	1.0
NR3C2_KiIC50_train_502	7.04	6.80222	1.0
NR3C2_KiIC50_train_451	6.23	6.58019	1.0
NR3C2_KiIC50_train_641	6.8	5.83088	1.0
NR3C2_KiIC50_train_605	7.04	6.84141	1.0
NR3C2_KiIC50_train_182	7.625	6.56188	1.0
NR3C2_KiIC50_train_698	6.58	6.30186	1.0
NR3C2_KiIC50_train_756	5.17	6.74238	1.0
NR3C2_KiIC50_train_409	6.37	6.57725	1.0
NR3C2_KiIC50_train_537	7.56	6.3468	1.0
NR3C2_KiIC50_train_544	5.6	5.85516	1.0
NR3C2_KiIC50_train_256	6.51	6.025	1.0
NR3C2_KiIC50_train_187	6.41	6.78665	1.0
NR3C2_KiIC50_train_767	7.0	6.50083	1.0
NR3C2_KiIC50_train_382	7.0	7.02179	1.0
NR3C2_KiIC50_train_402	5.55	6.15383	1.0
NR3C2_KiIC50_train_584	6.4	6.43987	1.0
NR3C2_KiIC50_train_151	6.06	6.27873	1.0
NR3C2_KiIC50_train_424	6.3	5.98514	1.0
NR3C2_KiIC50_train_320	6.95	7.33479	1.0
NR3C2_KiIC50_train_225	6.64	7.01785	1.0
NR3C2_KiIC50_train_139	5.52	6.36141	2.0
NR3C2_KiIC50_train_756	5.17	6.692	2.0
NR3C2_KiIC50_train_660	7.4	6.33438	2.0
NR3C2_KiIC50_train_652	6.96	7.28519	2.0
NR3C2_KiIC50_train_600	7.0	6.56218	2.0
NR3C2_KiIC50_train_646	5.86	6.54019	2.0
NR3C2_KiIC50_train_441	6.315	6.16842	2.0
NR3C2_KiIC50_train_577	6.45	6.8885	2.0
NR3C2_KiIC50_train_179	5.96	6.15351	2.0
NR3C2_KiIC50_train_524	6.66	6.41116	2.0
NR3C2_KiIC50_train_765	6.63	6.95887	2.0
NR3C2_KiIC50_train_601	6.27	6.28761	2.0
NR3C2_KiIC50_train_561	6.4	6.38883	2.0
NR3C2_KiIC50_train_277	6.92	6.9638	2.0
NR3C2_KiIC50_train_117	5.92	6.3149	2.0
NR3C2_KiIC50_train_191	5.5	6.40044	2.0
NR3C2_KiIC50_train_242	6.38	6.396	2.0
NR3C2_KiIC50_train_059	6.76	6.42367	2.0
NR3C2_KiIC50_train_383	5.28	6.0385	2.0
NR3C2_KiIC50_train_081	5.82	6.12132	2.0
NR3C2_KiIC50_train_578	5.67	5.81581	2.0
NR3C2_KiIC50_train_121	7.345	6.53335	2.0
NR3C2_KiIC50_train_131	7.14	6.60045	2.0
NR3C2_KiIC50_train_068	6.01	5.98984	2.0
NR3C2_KiIC50_train_605	7.04	6.94663	2.0
NR3C2_KiIC50_train_109	9.1	7.06756	2.0
NR3C2_KiIC50_train_061	6.71	7.05578	2.0
NR3C2_KiIC50_train_355	5.52	6.15344	2.0
NR3C2_KiIC50_train_622	6.96	6.73918	2.0
NR3C2_KiIC50_train_296	7.24	7.07469	2.0
NR3C2_KiIC50_train_213	5.96	6.27185	2.0
NR3C2_KiIC50_train_399	5.57	6.55431	2.0
NR3C2_KiIC50_train_747	5.75	6.00366	2.0
NR3C2_KiIC50_train_465	7.5	6.98248	2.0
NR3C2_KiIC50_train_018	6.94	7.18511	2.0
NR3C2_KiIC50_train_537	7.56	6.5244	2.0
NR3C2_KiIC50_train_197	6.03	6.38527	2.0
NR3C2_KiIC50_train_050	7.48	7.01564	2.0
NR3C2_KiIC50_train_270	6.51	6.41581	2.0
NR3C2_KiIC50_train_409	6.37	6.50713	2.0
NR3C2_KiIC50_train_372	6.96	6.47938	2.0
NR3C2_KiIC50_train_255	6.47	6.2107	2.0
NR3C2_KiIC50_train_220	7.16	6.32079	2.0
NR3C2_KiIC50_train_056	7.75	8.62354	2.0
NR3C2_KiIC50_train_435	4.64	5.79078	2.0
NR3C2_KiIC50_train_410	6.22	5.96673	2.0
NR3C2_KiIC50_train_285	6.68	6.15984	2.0
NR3C2_KiIC50_train_284	5.54	7.012	2.0
NR3C2_KiIC50_train_229	7.55	6.82235	2.0
NR3C2_KiIC50_train_135	5.69	6.39602	2.0
NR3C2_KiIC50_train_696	8.465	7.38509	2.0
NR3C2_KiIC50_train_100	5.875	8.02233	2.0
NR3C2_KiIC50_train_737	6.65	6.33712	2.0
NR3C2_KiIC50_train_165	4.89	5.91816	2.0
NR3C2_KiIC50_train_150	6.64	6.34628	2.0
NR3C2_KiIC50_train_613	5.34	6.08094	2.0
NR3C2_KiIC50_train_591	6.0	5.49851	2.0
NR3C2_KiIC50_train_307	5.92	6.19028	2.0
NR3C2_KiIC50_train_690	5.79	5.98124	2.0
NR3C2_KiIC50_train_069	6.31	5.71149	2.0
NR3C2_KiIC50_train_319	5.85	6.31922	2.0
NR3C2_KiIC50_train_173	8.15	7.04409	2.0
NR3C2_KiIC50_train_362	5.55	6.00716	2.0
NR3C2_KiIC50_train_553	5.96	6.75411	2.0
NR3C2_KiIC50_train_316	5.72	6.08003	2.0
NR3C2_KiIC50_train_183	6.5	6.16974	2.0
NR3C2_KiIC50_train_557	6.21	6.10642	2.0
NR3C2_KiIC50_train_019	6.05	6.3239	2.0
NR3C2_KiIC50_train_134	7.28	7.45941	2.0
NR3C2_KiIC50_train_015	6.47	6.11383	2.0
NR3C2_KiIC50_train_569	6.03	5.54799	2.0
NR3C2_KiIC50_train_232	6.85	6.90167	2.0
NR3C2_KiIC50_train_038	5.95	6.30811	2.0
NR3C2_KiIC50_train_411	6.05	6.80259	3.0
NR3C2_KiIC50_train_071	6.94	6.67648	3.0
NR3C2_KiIC50_train_539	6.35	6.33636	3.0
NR3C2_KiIC50_train_014	6.26	6.33449	3.0
NR3C2_KiIC50_train_214	7.51	7.14363	3.0
NR3C2_KiIC50_train_737	6.65	6.40185	3.0
NR3C2_KiIC50_train_140	5.84	6.09712	3.0
NR3C2_KiIC50_train_557	6.21	5.97454	3.0
NR3C2_KiIC50_train_091	6.9	7.17234	3.0
NR3C2_KiIC50_train_082	5.37	6.26725	3.0
NR3C2_KiIC50_train_111	7.13	6.28502	3.0
NR3C2_KiIC50_train_587	6.87	7.40021	3.0
NR3C2_KiIC50_train_268	5.97	6.21231	3.0
NR3C2_KiIC50_train_245	5.69	5.89107	3.0
NR3C2_KiIC50_train_743	8.66	8.44242	3.0
NR3C2_KiIC50_train_112	6.525	7.1536	3.0
NR3C2_KiIC50_train_083	5.75	5.9556	3.0
NR3C2_KiIC50_train_563	6.58	6.88526	3.0
NR3C2_KiIC50_train_161	7.27	7.27094	3.0
NR3C2_KiIC50_train_536	7.54	7.54683	3.0
NR3C2_KiIC50_train_018	6.94	7.03723	3.0
NR3C2_KiIC50_train_217	5.46	6.01474	3.0
NR3C2_KiIC50_train_570	5.695	6.42434	3.0
NR3C2_KiIC50_train_735	6.18	6.23893	3.0
NR3C2_KiIC50_train_394	6.23	6.38787	3.0
NR3C2_KiIC50_train_413	5.47	6.88102	3.0
NR3C2_KiIC50_train_447	6.23	6.27039	3.0
NR3C2_KiIC50_train_693	5.96	6.02699	3.0
NR3C2_KiIC50_train_387	6.0	6.34908	3.0
NR3C2_KiIC50_train_345	4.66	6.91937	3.0
NR3C2_KiIC50_train_323	6.55	6.43649	3.0
NR3C2_KiIC50_train_408	6.91	7.20664	3.0
NR3C2_KiIC50_train_129	6.77	6.74689	3.0
NR3C2_KiIC50_train_201	5.7	6.54013	3.0
NR3C2_KiIC50_train_338	7.3	6.50496	3.0
NR3C2_KiIC50_train_231	5.42	6.27841	3.0
NR3C2_KiIC50_train_774	5.85	6.21177	3.0
NR3C2_KiIC50_train_282	5.65	5.85631	3.0
NR3C2_KiIC50_train_598	6.47	6.81879	3.0
NR3C2_KiIC50_train_048	7.89	7.22528	3.0
NR3C2_KiIC50_train_052	5.68	5.84203	3.0
NR3C2_KiIC50_train_097	7.35	6.39782	3.0
NR3C2_KiIC50_train_113	6.62	6.47695	3.0
NR3C2_KiIC50_train_649	6.45	5.8837	3.0
NR3C2_KiIC50_train_027	6.635	7.08906	3.0
NR3C2_KiIC50_train_547	6.7	6.33973	3.0
NR3C2_KiIC50_train_440	5.72	6.81606	3.0
NR3C2_KiIC50_train_331	6.51	6.92651	3.0
NR3C2_KiIC50_train_537	7.56	6.64894	3.0
NR3C2_KiIC50_train_594	6.13	6.47455	3.0
NR3C2_KiIC50_train_259	5.55	6.34096	3.0
NR3C2_KiIC50_train_562	7.6	7.44078	3.0
NR3C2_KiIC50_train_041	6.24	5.89027	3.0
NR3C2_KiIC50_train_719	6.91	7.27303	3.0
NR3C2_KiIC50_train_314	5.97	5.87815	3.0
NR3C2_KiIC50_train_550	8.3	7.19209	3.0
NR3C2_KiIC50_train_229	7.55	7.04509	3.0
NR3C2_KiIC50_train_392	6.575	6.5545	3.0
NR3C2_KiIC50_train_376	7.49	6.6543	3.0
NR3C2_KiIC50_train_656	7.48	5.7433	3.0
NR3C2_KiIC50_train_127	5.75	5.90952	3.0
NR3C2_KiIC50_train_397	6.35	6.78976	3.0
NR3C2_KiIC50_train_637	7.42	7.21504	3.0
NR3C2_KiIC50_train_010	5.99	6.24208	3.0
NR3C2_KiIC50_train_162	8.48	6.68315	3.0
NR3C2_KiIC50_train_347	7.68	7.66479	3.0
NR3C2_KiIC50_train_031	6.8	6.95076	3.0
NR3C2_KiIC50_train_653	9.05	7.08651	3.0
NR3C2_KiIC50_train_059	6.76	6.58989	3.0
NR3C2_KiIC50_train_422	5.98	6.31396	3.0
NR3C2_KiIC50_train_695	6.33	6.14068	3.0
NR3C2_KiIC50_train_151	6.06	6.48861	3.0
NR3C2_KiIC50_train_596	5.57	6.21575	3.0
NR3C2_KiIC50_train_499	5.64	5.8539	4.0
NR3C2_KiIC50_train_756	5.17	6.78398	4.0
NR3C2_KiIC50_train_365	7.58	7.28955	4.0
NR3C2_KiIC50_train_691	7.05	7.66613	4.0
NR3C2_KiIC50_train_174	6.0	6.16343	4.0
NR3C2_KiIC50_train_488	6.18	6.50609	4.0
NR3C2_KiIC50_train_546	7.55	7.21224	4.0
NR3C2_KiIC50_train_773	6.3	6.65679	4.0
NR3C2_KiIC50_train_720	6.0	6.29517	4.0
NR3C2_KiIC50_train_682	6.845	6.95815	4.0
NR3C2_KiIC50_train_068	6.01	5.90927	4.0
NR3C2_KiIC50_train_555	5.98	6.44451	4.0
NR3C2_KiIC50_train_194	6.9	5.78038	4.0
NR3C2_KiIC50_train_044	6.11	6.86574	4.0
NR3C2_KiIC50_train_513	5.77	5.75358	4.0
NR3C2_KiIC50_train_098	7.835	7.65756	4.0
NR3C2_KiIC50_train_375	8.68	6.88503	4.0
NR3C2_KiIC50_train_654	5.41	6.86865	4.0
NR3C2_KiIC50_train_662	5.7	6.18444	4.0
NR3C2_KiIC50_train_434	5.35	7.36988	4.0
NR3C2_KiIC50_train_376	7.49	6.32834	4.0
NR3C2_KiIC50_train_229	7.55	6.81844	4.0
NR3C2_KiIC50_train_283	6.05	5.41976	4.0
NR3C2_KiIC50_train_459	7.605	8.01285	4.0
NR3C2_KiIC50_train_763	6.36	6.20931	4.0
NR3C2_KiIC50_train_037	7.19	7.09718	4.0
NR3C2_KiIC50_train_326	8.05	7.1479	4.0
NR3C2_KiIC50_train_484	8.7	7.32035	4.0
NR3C2_KiIC50_train_320	6.95	7.63746	4.0
NR3C2_KiIC50_train_594	6.13	6.04751	4.0
NR3C2_KiIC50_train_131	7.14	6.5709	4.0
NR3C2_KiIC50_train_163	9.47	8.29828	4.0
NR3C2_KiIC50_train_007	5.82	6.51281	4.0
NR3C2_KiIC50_train_241	5.65	6.35861	4.0
NR3C2_KiIC50_train_271	6.33	6.74708	4.0
NR3C2_KiIC50_train_204	6.0	6.18581	4.0
NR3C2_KiIC50_train_622	6.96	6.68732	4.0
NR3C2_KiIC50_train_108	8.21	7.46074	4.0
NR3C2_KiIC50_train_731	8.4	7.98717	4.0
NR3C2_KiIC50_train_328	6.92	6.48728	4.0
NR3C2_KiIC50_train_212	6.72	6.53008	4.0
NR3C2_KiIC50_train_002	6.47	6.29604	4.0
NR3C2_KiIC50_train_193	6.68	6.26978	4.0
NR3C2_KiIC50_train_564	7.67	7.45463	4.0
NR3C2_KiIC50_train_614	7.495	7.39018	4.0
NR3C2_KiIC50_train_101	6.85	6.95009	4.0
NR3C2_KiIC50_train_181	5.8	6.23067	4.0
NR3C2_KiIC50_train_765	6.63	6.62687	4.0
NR3C2_KiIC50_train_414	5.54	6.33737	4.0
NR3C2_KiIC50_train_351	5.8	5.91584	4.0
NR3C2_KiIC50_train_217	5.46	6.13461	4.0
NR3C2_KiIC50_train_347	7.68	7.52105	4.0
NR3C2_KiIC50_train_487	5.22	5.51131	4.0
NR3C2_KiIC50_train_185	5.2	6.72366	4.0
NR3C2_KiIC50_train_228	5.17	6.24714	4.0
NR3C2_KiIC50_train_146	7.1	7.59147	4.0
NR3C2_KiIC50_train_400	5.8	7.15314	4.0
NR3C2_KiIC50_train_296	7.24	7.23283	4.0
NR3C2_KiIC50_train_761	6.58	6.35241	4.0
NR3C2_KiIC50_train_183	6.5	6.09306	4.0
NR3C2_KiIC50_train_234	5.71	6.59174	4.0
NR3C2_KiIC50_train_387	6.0	6.29795	4.0
NR3C2_KiIC50_train_511	7.6	6.75387	4.0
NR3C2_KiIC50_train_501	5.8	6.55244	4.0
NR3C2_KiIC50_train_085	6.8	6.68779	4.0
NR3C2_KiIC50_train_123	6.62	6.44903	4.0
NR3C2_KiIC50_train_045	6.14	6.11529	4.0
NR3C2_KiIC50_train_690	5.79	6.16928	4.0
NR3C2_KiIC50_train_099	7.685	6.90529	4.0
NR3C2_KiIC50_train_609	7.22	6.6983	4.0
NR3C2_KiIC50_train_447	6.23	6.25088	4.0
NR3C2_KiIC50_train_362	5.55	6.35841	4.0
NR3C2_KiIC50_train_354	6.14	7.38656	4.0
