QSPRID	pchembl_value_median_Label	pchembl_value_median_Prediction
ADORA1_Ki_train_0802	5.75	5.74147
ADORA1_Ki_train_1993	6.68	6.68291
ADORA1_Ki_train_0567	5.0	5.14507
ADORA1_Ki_train_1563	6.43	6.4263
ADORA1_Ki_train_0093	8.43	7.22841
ADORA1_Ki_train_0298	4.92	4.97443
ADORA1_Ki_train_0229	7.4	7.34223
ADORA1_Ki_train_1747	6.41	6.7356
ADORA1_Ki_train_1362	6.13	7.09583
ADORA1_Ki_train_2507	6.91	6.2626
ADORA1_Ki_train_1251	8.15	7.38123
ADORA1_Ki_train_2178	5.05	5.48022
ADORA1_Ki_train_0438	7.54	7.54331
ADORA1_Ki_train_0889	5.14	6.2278
ADORA1_Ki_train_3480	6.82	6.34709
ADORA1_Ki_train_1912	5.5	6.05717
ADORA1_Ki_train_2189	7.32	7.15455
ADORA1_Ki_train_1146	5.47	5.67292
ADORA1_Ki_train_0322	5.41	6.97489
ADORA1_Ki_train_0811	8.88	7.7564
ADORA1_Ki_train_3135	7.44	7.84308
ADORA1_Ki_train_2232	5.71	5.77828
ADORA1_Ki_train_1298	9.24	6.06337
ADORA1_Ki_train_0203	5.39	6.4097
ADORA1_Ki_train_3631	6.48	6.11628
ADORA1_Ki_train_1361	5.02	5.25244
ADORA1_Ki_train_3366	7.23	6.55687
ADORA1_Ki_train_0012	6.14	6.5491
ADORA1_Ki_train_3321	7.44	7.41604
ADORA1_Ki_train_3209	7.16	7.30988
ADORA1_Ki_train_3404	5.46	6.20681
ADORA1_Ki_train_0976	6.29	6.10296
ADORA1_Ki_train_2046	7.35	7.21425
ADORA1_Ki_train_3218	5.96	5.99856
ADORA1_Ki_train_2358	7.15	6.56763
ADORA1_Ki_train_2287	6.69	6.10726
ADORA1_Ki_train_1011	7.04	6.63909
ADORA1_Ki_train_1754	6.42	6.34409
ADORA1_Ki_train_0965	5.72	5.98908
ADORA1_Ki_train_0299	5.51	6.09473
ADORA1_Ki_train_2835	6.88	6.75386
ADORA1_Ki_train_0495	7.38	6.6724
ADORA1_Ki_train_1442	7.26	7.84946
ADORA1_Ki_train_0402	7.88	7.87345
ADORA1_Ki_train_2707	6.79	7.49899
ADORA1_Ki_train_3063	5.97	6.20423
ADORA1_Ki_train_0076	6.14	7.08187
ADORA1_Ki_train_3668	6.2	6.10431
ADORA1_Ki_train_2153	7.97	8.20372
ADORA1_Ki_train_3309	5.35	5.58686
ADORA1_Ki_train_0211	8.0	7.97824
ADORA1_Ki_train_2917	6.63	6.38915
ADORA1_Ki_train_2468	6.22	6.19706
ADORA1_Ki_train_2533	5.87	5.40465
ADORA1_Ki_train_0030	6.62	7.92718
ADORA1_Ki_train_1138	5.64	6.05789
ADORA1_Ki_train_0270	7.0	7.40757
ADORA1_Ki_train_2736	5.78	6.64341
ADORA1_Ki_train_1584	6.78	6.9571
ADORA1_Ki_train_2852	7.04	7.26832
ADORA1_Ki_train_3205	7.63	7.40318
ADORA1_Ki_train_2654	5.54	5.95251
ADORA1_Ki_train_1340	6.54	6.37615
ADORA1_Ki_train_0501	7.7	7.26436
ADORA1_Ki_train_2310	7.35	7.55841
ADORA1_Ki_train_1293	6.54	6.47762
ADORA1_Ki_train_3466	7.09	6.69071
ADORA1_Ki_train_1188	5.77	5.76534
ADORA1_Ki_train_0052	7.35	7.27604
ADORA1_Ki_train_0527	6.905	7.29545
ADORA1_Ki_train_0120	6.83	7.34626
ADORA1_Ki_train_1488	7.12	6.86148
ADORA1_Ki_train_0321	6.23	6.35558
ADORA1_Ki_train_3428	5.96	5.80032
ADORA1_Ki_train_3013	5.83	5.82495
ADORA1_Ki_train_2320	5.62	6.17948
ADORA1_Ki_train_3228	8.305	7.20972
ADORA1_Ki_train_2562	7.11	6.7271
ADORA1_Ki_train_2240	6.8	5.79411
ADORA1_Ki_train_2282	6.81	7.26625
ADORA1_Ki_train_3405	6.745	6.53925
ADORA1_Ki_train_2807	7.12	8.31705
ADORA1_Ki_train_3606	6.18	6.28774
ADORA1_Ki_train_3412	7.43	7.3325
ADORA1_Ki_train_2991	4.88	5.49534
ADORA1_Ki_train_2163	6.34	5.97652
ADORA1_Ki_train_1583	5.82	5.95478
ADORA1_Ki_train_0351	6.96	6.93945
ADORA1_Ki_train_2341	6.78	6.7994
ADORA1_Ki_train_2024	5.2	5.57302
ADORA1_Ki_train_2906	6.98	6.94706
ADORA1_Ki_train_1022	8.22	8.5495
ADORA1_Ki_train_0450	7.92	7.23356
ADORA1_Ki_train_0014	9.15	8.47408
ADORA1_Ki_train_0414	6.76	7.12246
ADORA1_Ki_train_0752	7.26	7.33782
ADORA1_Ki_train_2211	5.84	6.12767
ADORA1_Ki_train_0291	5.85	5.31144
ADORA1_Ki_train_2930	6.56	6.18501
ADORA1_Ki_train_0838	7.39	6.32516
ADORA1_Ki_train_0443	5.95	6.04572
ADORA1_Ki_train_2941	6.23	6.799
ADORA1_Ki_train_2650	7.12	7.73519
ADORA1_Ki_train_0109	6.15	6.40558
ADORA1_Ki_train_0809	5.19	7.98826
ADORA1_Ki_train_3044	6.77	6.52477
ADORA1_Ki_train_1694	5.71	6.09642
ADORA1_Ki_train_3635	6.41	5.90849
ADORA1_Ki_train_1270	6.91	6.60139
ADORA1_Ki_train_3552	7.77	6.87374
ADORA1_Ki_train_2658	7.22	6.72596
ADORA1_Ki_train_0457	7.86	7.87058
ADORA1_Ki_train_0415	6.78	6.33821
ADORA1_Ki_train_1814	8.28	8.25657
ADORA1_Ki_train_2023	5.08	5.42529
ADORA1_Ki_train_3677	6.35	6.15307
ADORA1_Ki_train_2010	5.3	5.60742
ADORA1_Ki_train_1744	7.28	6.5749
ADORA1_Ki_train_0478	8.46	7.44587
ADORA1_Ki_train_0410	5.61	5.63539
ADORA1_Ki_train_2554	5.21	5.31225
ADORA1_Ki_train_2832	6.5	7.07315
ADORA1_Ki_train_0179	7.75	7.53271
ADORA1_Ki_train_1572	6.42	6.34392
ADORA1_Ki_train_3080	8.08	8.03476
ADORA1_Ki_train_2045	6.88	7.65641
ADORA1_Ki_train_3271	6.56	6.35369
ADORA1_Ki_train_2885	8.66	7.73295
ADORA1_Ki_train_3452	4.93	6.16655
ADORA1_Ki_train_1432	7.52	7.00621
ADORA1_Ki_train_1226	7.75	6.93907
ADORA1_Ki_train_1450	7.11	6.60947
ADORA1_Ki_train_0969	6.87	6.15504
ADORA1_Ki_train_0807	6.11	6.37468
ADORA1_Ki_train_2290	8.62	8.63608
ADORA1_Ki_train_1117	6.21	6.42617
ADORA1_Ki_train_3678	6.46	7.34565
ADORA1_Ki_train_0170	7.09	7.57001
ADORA1_Ki_train_2022	6.46	6.30571
ADORA1_Ki_train_0573	7.345	7.07915
ADORA1_Ki_train_1025	7.72	6.8672
ADORA1_Ki_train_2994	8.22	8.55798
ADORA1_Ki_train_0985	7.57	7.86004
