QSPRID	pchembl_value_median_Label	pchembl_value_median_Prediction	Fold
ADORA1_Ki_train_2483	7.29	6.85584	0.0
ADORA1_Ki_train_1944	4.7	5.79044	0.0
ADORA1_Ki_train_2009	7.43	7.16391	0.0
ADORA1_Ki_train_0957	6.74	7.06516	0.0
ADORA1_Ki_train_1059	6.8	6.79102	0.0
ADORA1_Ki_train_0902	7.12	6.5501	0.0
ADORA1_Ki_train_0385	6.47	6.40659	0.0
ADORA1_Ki_train_0745	6.18	5.79812	0.0
ADORA1_Ki_train_3172	5.77	6.01552	0.0
ADORA1_Ki_train_2960	6.66	6.24872	0.0
ADORA1_Ki_train_0303	7.26	6.94918	0.0
ADORA1_Ki_train_3522	6.24	6.37227	0.0
ADORA1_Ki_train_1980	5.3	6.44236	0.0
ADORA1_Ki_train_0732	8.68	8.17682	0.0
ADORA1_Ki_train_3042	8.15	7.69012	0.0
ADORA1_Ki_train_3520	7.85	7.75717	0.0
ADORA1_Ki_train_1564	5.18	5.58973	0.0
ADORA1_Ki_train_1082	6.4	6.29411	0.0
ADORA1_Ki_train_1229	7.47	6.28276	0.0
ADORA1_Ki_train_1042	5.14	5.10757	0.0
ADORA1_Ki_train_3114	8.35	7.29182	0.0
ADORA1_Ki_train_1187	8.92	7.75698	0.0
ADORA1_Ki_train_1979	7.75	8.16323	0.0
ADORA1_Ki_train_0931	4.96	4.76361	0.0
ADORA1_Ki_train_3667	6.92	7.01666	0.0
ADORA1_Ki_train_3329	6.67	6.06842	0.0
ADORA1_Ki_train_1268	7.75	7.39873	0.0
ADORA1_Ki_train_0194	5.92	5.64934	0.0
ADORA1_Ki_train_3465	6.25	6.40749	0.0
ADORA1_Ki_train_3169	6.32	5.87954	0.0
ADORA1_Ki_train_0944	6.68	6.31438	0.0
ADORA1_Ki_train_2428	5.69	6.15289	0.0
ADORA1_Ki_train_2747	5.66	7.58092	0.0
ADORA1_Ki_train_1158	6.45	6.28298	0.0
ADORA1_Ki_train_2113	5.42	6.2697	0.0
ADORA1_Ki_train_1338	5.57	5.36519	0.0
ADORA1_Ki_train_3000	7.0	5.63689	0.0
ADORA1_Ki_train_0878	5.48	6.41517	0.0
ADORA1_Ki_train_3074	6.24	5.71023	0.0
ADORA1_Ki_train_0639	6.76	6.45829	0.0
ADORA1_Ki_train_1676	6.92	6.0975	0.0
ADORA1_Ki_train_2230	5.52	6.07744	0.0
ADORA1_Ki_train_2360	6.47	6.32573	0.0
ADORA1_Ki_train_1397	6.6	6.41523	0.0
ADORA1_Ki_train_0550	6.36	6.45556	0.0
ADORA1_Ki_train_1144	8.59	7.76168	0.0
ADORA1_Ki_train_2617	6.61	7.59243	0.0
ADORA1_Ki_train_0286	6.58	6.319	0.0
ADORA1_Ki_train_2026	8.06	7.50443	0.0
ADORA1_Ki_train_2168	5.49	5.42162	0.0
ADORA1_Ki_train_2017	4.47	5.66612	0.0
ADORA1_Ki_train_2040	8.05	6.97801	0.0
ADORA1_Ki_train_0717	5.54	6.29875	0.0
ADORA1_Ki_train_2340	6.97	7.24698	0.0
ADORA1_Ki_train_0609	6.07	6.12322	0.0
ADORA1_Ki_train_0368	8.04	7.67973	0.0
ADORA1_Ki_train_0983	6.63	6.48692	0.0
ADORA1_Ki_train_2512	6.75	6.73661	0.0
ADORA1_Ki_train_0859	5.14	5.69413	0.0
ADORA1_Ki_train_3518	5.7	5.90585	0.0
ADORA1_Ki_train_2286	6.51	6.02124	0.0
ADORA1_Ki_train_3318	8.19	7.14328	0.0
ADORA1_Ki_train_0510	5.66	5.95149	0.0
ADORA1_Ki_train_3361	5.59	5.56111	0.0
ADORA1_Ki_train_2958	7.36	8.00969	0.0
ADORA1_Ki_train_2406	6.45	6.31566	0.0
ADORA1_Ki_train_1372	7.78	7.47948	0.0
ADORA1_Ki_train_0466	7.32	6.96408	0.0
ADORA1_Ki_train_0068	5.3	6.73573	0.0
ADORA1_Ki_train_1401	5.45	5.21738	0.0
ADORA1_Ki_train_0747	5.07	5.48404	0.0
ADORA1_Ki_train_0803	5.57	5.25328	0.0
ADORA1_Ki_train_2393	5.77	5.89767	0.0
ADORA1_Ki_train_1677	6.51	5.92331	0.0
ADORA1_Ki_train_0842	6.16	6.43589	0.0
ADORA1_Ki_train_2031	7.39	6.4145	0.0
ADORA1_Ki_train_3625	8.1	6.96464	0.0
ADORA1_Ki_train_0008	6.23	6.33689	0.0
ADORA1_Ki_train_2710	6.17	6.10539	0.0
ADORA1_Ki_train_0062	4.66	5.41013	0.0
ADORA1_Ki_train_2179	6.96	6.14887	0.0
ADORA1_Ki_train_2905	4.63	6.05914	0.0
ADORA1_Ki_train_2079	7.47	7.30669	0.0
ADORA1_Ki_train_2652	7.11	6.96752	0.0
ADORA1_Ki_train_1811	8.28	7.40609	0.0
ADORA1_Ki_train_1065	6.91	6.76627	0.0
ADORA1_Ki_train_1808	6.82	6.45547	0.0
ADORA1_Ki_train_3671	7.14	6.81654	0.0
ADORA1_Ki_train_0596	8.05	7.74927	0.0
ADORA1_Ki_train_0499	6.3	6.31747	0.0
ADORA1_Ki_train_2963	8.1	8.00203	0.0
ADORA1_Ki_train_0867	7.54	7.60899	0.0
ADORA1_Ki_train_2810	6.0	6.3408	0.0
ADORA1_Ki_train_1253	7.28	7.94488	0.0
ADORA1_Ki_train_2547	6.5	6.49986	0.0
ADORA1_Ki_train_0855	6.53	5.87209	0.0
ADORA1_Ki_train_3491	5.54	5.44225	0.0
ADORA1_Ki_train_0260	5.33	5.35601	0.0
ADORA1_Ki_train_1649	6.31	6.42597	0.0
ADORA1_Ki_train_2557	6.77	6.83186	0.0
ADORA1_Ki_train_1033	6.52	6.57739	0.0
ADORA1_Ki_train_2979	6.9	7.51273	0.0
ADORA1_Ki_train_0444	7.47	7.90144	0.0
ADORA1_Ki_train_2025	6.65	6.81919	0.0
ADORA1_Ki_train_1749	6.59	6.17375	0.0
ADORA1_Ki_train_0873	6.21	6.40925	0.0
ADORA1_Ki_train_0191	5.73	5.86231	0.0
ADORA1_Ki_train_0112	6.75	7.01209	0.0
ADORA1_Ki_train_0273	7.01	6.76512	0.0
ADORA1_Ki_train_0939	7.96	8.00414	0.0
ADORA1_Ki_train_0311	5.31	5.25806	0.0
ADORA1_Ki_train_2741	9.21	9.0465	0.0
ADORA1_Ki_train_1916	6.29	6.24747	0.0
ADORA1_Ki_train_2969	7.3	7.55432	0.0
ADORA1_Ki_train_3313	6.22	6.24	0.0
ADORA1_Ki_train_1330	5.97	6.02435	0.0
ADORA1_Ki_train_0155	7.09	7.76528	0.0
ADORA1_Ki_train_2662	7.19	6.24732	0.0
ADORA1_Ki_train_2721	6.05	6.71681	0.0
ADORA1_Ki_train_2672	6.75	6.61139	0.0
ADORA1_Ki_train_0568	8.12	7.0412	0.0
ADORA1_Ki_train_3304	7.51	6.82467	0.0
ADORA1_Ki_train_1934	6.92	6.16424	0.0
ADORA1_Ki_train_1232	7.11	7.44359	0.0
ADORA1_Ki_train_2187	7.44	7.66654	0.0
ADORA1_Ki_train_1898	5.16	6.87194	0.0
ADORA1_Ki_train_3182	4.73	5.13958	0.0
ADORA1_Ki_train_3569	6.41	6.28992	0.0
ADORA1_Ki_train_0173	6.62	7.02535	0.0
ADORA1_Ki_train_1771	6.1	6.08455	0.0
ADORA1_Ki_train_3482	6.09	6.7822	0.0
ADORA1_Ki_train_2783	6.3	6.92178	0.0
ADORA1_Ki_train_3431	6.68	6.59705	0.0
ADORA1_Ki_train_1115	6.03	6.78116	0.0
ADORA1_Ki_train_1658	5.61	5.93827	0.0
ADORA1_Ki_train_1812	4.39	6.17447	0.0
ADORA1_Ki_train_1248	7.63	7.16945	0.0
ADORA1_Ki_train_1870	7.15	6.95674	0.0
ADORA1_Ki_train_0398	6.65	7.20646	0.0
ADORA1_Ki_train_2559	6.7	7.00344	0.0
ADORA1_Ki_train_3588	6.99	7.11603	0.0
ADORA1_Ki_train_1668	5.41	5.74289	0.0
ADORA1_Ki_train_2466	7.35	7.30887	0.0
ADORA1_Ki_train_0391	4.97	4.85403	0.0
ADORA1_Ki_train_2919	6.36	6.50746	0.0
ADORA1_Ki_train_1654	7.29	7.5268	0.0
ADORA1_Ki_train_0698	5.94	5.99441	0.0
ADORA1_Ki_train_1762	6.46	6.46479	0.0
ADORA1_Ki_train_1552	6.28	6.50028	0.0
ADORA1_Ki_train_1091	7.97	8.54414	0.0
ADORA1_Ki_train_0950	9.205	8.51341	0.0
ADORA1_Ki_train_2151	6.13	6.97744	0.0
ADORA1_Ki_train_1971	5.93	6.42308	0.0
ADORA1_Ki_train_2292	5.69	6.2382	0.0
ADORA1_Ki_train_3665	7.35	8.16406	0.0
ADORA1_Ki_train_0936	6.65	6.22164	0.0
ADORA1_Ki_train_0288	5.93	5.50668	0.0
ADORA1_Ki_train_2544	8.09	7.80462	0.0
ADORA1_Ki_train_2838	7.88	6.75608	0.0
ADORA1_Ki_train_1326	7.08	7.9606	0.0
ADORA1_Ki_train_1629	6.72	6.13232	0.0
ADORA1_Ki_train_3593	5.57	6.30725	0.0
ADORA1_Ki_train_0178	7.96	7.33228	0.0
ADORA1_Ki_train_0072	5.31	5.73377	0.0
ADORA1_Ki_train_2863	7.05	5.80608	0.0
ADORA1_Ki_train_0739	6.19	6.16752	0.0
ADORA1_Ki_train_0164	6.11	7.57744	0.0
ADORA1_Ki_train_0145	8.83	8.35486	0.0
ADORA1_Ki_train_1641	6.82	6.69755	0.0
ADORA1_Ki_train_3255	7.03	6.89985	0.0
ADORA1_Ki_train_1643	5.85	6.23521	0.0
ADORA1_Ki_train_0371	4.92	5.27072	0.0
ADORA1_Ki_train_1507	8.68	7.96522	0.0
ADORA1_Ki_train_1711	5.9	5.85497	0.0
ADORA1_Ki_train_1182	6.22	5.9696	0.0
ADORA1_Ki_train_2720	6.66	6.51877	0.0
ADORA1_Ki_train_2708	6.995	6.53527	0.0
ADORA1_Ki_train_0250	7.1	6.4882	0.0
ADORA1_Ki_train_1312	6.66	6.34006	0.0
ADORA1_Ki_train_1685	7.81	6.88636	0.0
ADORA1_Ki_train_2693	7.0	7.64204	0.0
ADORA1_Ki_train_0397	5.8	5.75766	0.0
ADORA1_Ki_train_1655	5.75	5.34996	0.0
ADORA1_Ki_train_1074	5.78	5.87788	0.0
ADORA1_Ki_train_0641	6.42	6.25844	0.0
ADORA1_Ki_train_3034	8.68	8.47356	0.0
ADORA1_Ki_train_2579	6.68	6.16291	0.0
ADORA1_Ki_train_1081	7.42	7.23881	0.0
ADORA1_Ki_train_0361	5.5	6.20236	0.0
ADORA1_Ki_train_1039	7.39	6.7539	0.0
ADORA1_Ki_train_2062	6.3	5.40607	0.0
ADORA1_Ki_train_1989	6.82	6.89177	0.0
ADORA1_Ki_train_1034	6.56	6.88065	0.0
ADORA1_Ki_train_0404	8.27	7.30102	0.0
ADORA1_Ki_train_1208	6.85	8.15251	0.0
ADORA1_Ki_train_2781	7.6	6.65659	0.0
ADORA1_Ki_train_2871	8.38	7.80483	0.0
ADORA1_Ki_train_0806	4.53	6.0377	0.0
ADORA1_Ki_train_1836	5.89	5.81396	0.0
ADORA1_Ki_train_1914	6.57	6.43988	0.0
ADORA1_Ki_train_0563	6.14	5.93732	0.0
ADORA1_Ki_train_1097	7.09	6.47529	0.0
ADORA1_Ki_train_2834	7.0	7.07602	0.0
ADORA1_Ki_train_2808	5.41	6.18418	0.0
ADORA1_Ki_train_1271	6.76	6.72805	1.0
ADORA1_Ki_train_0615	6.75	6.84843	1.0
ADORA1_Ki_train_3438	6.56	6.50822	1.0
ADORA1_Ki_train_2532	7.3	7.05115	1.0
ADORA1_Ki_train_1605	6.3	6.10118	1.0
ADORA1_Ki_train_0328	5.08	5.98911	1.0
ADORA1_Ki_train_2347	6.99	8.28528	1.0
ADORA1_Ki_train_1714	6.62	6.06468	1.0
ADORA1_Ki_train_0292	5.31	5.68336	1.0
ADORA1_Ki_train_3387	6.8	7.11884	1.0
ADORA1_Ki_train_2995	5.38	7.01382	1.0
ADORA1_Ki_train_0865	6.85	6.58238	1.0
ADORA1_Ki_train_3596	6.64	6.49729	1.0
ADORA1_Ki_train_0523	6.54	6.82178	1.0
ADORA1_Ki_train_3091	6.42	6.41003	1.0
ADORA1_Ki_train_1465	6.9	6.2833	1.0
ADORA1_Ki_train_3280	6.1	6.43347	1.0
ADORA1_Ki_train_2949	8.26	8.38905	1.0
ADORA1_Ki_train_1603	7.16	6.82677	1.0
ADORA1_Ki_train_3672	6.5	5.60124	1.0
ADORA1_Ki_train_3645	6.06	6.50492	1.0
ADORA1_Ki_train_3561	7.5	6.8903	1.0
ADORA1_Ki_train_1145	6.05	8.56483	1.0
ADORA1_Ki_train_1625	7.44	7.17175	1.0
ADORA1_Ki_train_3296	7.04	7.34453	1.0
ADORA1_Ki_train_1994	6.37	5.95758	1.0
ADORA1_Ki_train_2786	6.67	5.97347	1.0
ADORA1_Ki_train_0542	6.47	6.36431	1.0
ADORA1_Ki_train_3473	7.04	6.98192	1.0
ADORA1_Ki_train_0479	7.43	7.45262	1.0
ADORA1_Ki_train_1109	6.3	6.24141	1.0
ADORA1_Ki_train_1969	6.28	6.16221	1.0
ADORA1_Ki_train_1215	6.01	5.80905	1.0
ADORA1_Ki_train_0906	6.05	7.26174	1.0
ADORA1_Ki_train_1479	4.86	5.94555	1.0
ADORA1_Ki_train_3219	8.19	8.44353	1.0
ADORA1_Ki_train_1541	4.86	5.25512	1.0
ADORA1_Ki_train_1302	5.22	6.71078	1.0
ADORA1_Ki_train_1024	6.6	6.53046	1.0
ADORA1_Ki_train_2042	6.43	6.19764	1.0
ADORA1_Ki_train_3459	6.65	7.62775	1.0
ADORA1_Ki_train_0429	6.96	6.49955	1.0
ADORA1_Ki_train_3365	8.74	8.56025	1.0
ADORA1_Ki_train_2269	6.89	6.45901	1.0
ADORA1_Ki_train_3449	5.75	5.50684	1.0
ADORA1_Ki_train_2356	7.18	5.88252	1.0
ADORA1_Ki_train_0484	6.67	6.48366	1.0
ADORA1_Ki_train_0882	6.63	6.01944	1.0
ADORA1_Ki_train_2112	6.24	6.56446	1.0
ADORA1_Ki_train_3490	6.39	6.43612	1.0
ADORA1_Ki_train_2437	6.34	6.24671	1.0
ADORA1_Ki_train_1211	5.62	6.76739	1.0
ADORA1_Ki_train_2869	5.93	5.61746	1.0
ADORA1_Ki_train_2975	7.05	6.23312	1.0
ADORA1_Ki_train_1200	8.36	7.77378	1.0
ADORA1_Ki_train_3514	8.19	7.82096	1.0
ADORA1_Ki_train_1562	8.21	7.61122	1.0
ADORA1_Ki_train_3328	7.64	7.04743	1.0
ADORA1_Ki_train_1784	6.38	6.56956	1.0
ADORA1_Ki_train_3055	7.85	7.36728	1.0
ADORA1_Ki_train_1704	8.32	7.20196	1.0
ADORA1_Ki_train_2131	4.12	4.34395	1.0
ADORA1_Ki_train_0847	6.07	5.79204	1.0
ADORA1_Ki_train_2359	5.9	5.73246	1.0
ADORA1_Ki_train_2931	5.82	5.91205	1.0
ADORA1_Ki_train_1906	6.66	7.16881	1.0
ADORA1_Ki_train_1030	6.86	6.06629	1.0
ADORA1_Ki_train_1038	6.42	5.58281	1.0
ADORA1_Ki_train_2051	6.68	5.85296	1.0
ADORA1_Ki_train_2416	5.52	5.96798	1.0
ADORA1_Ki_train_1172	6.03	6.77992	1.0
ADORA1_Ki_train_2624	6.09	6.1259	1.0
ADORA1_Ki_train_3024	8.97	8.92903	1.0
ADORA1_Ki_train_2692	5.76	6.17434	1.0
ADORA1_Ki_train_0132	7.75	6.92861	1.0
ADORA1_Ki_train_0952	7.89	6.74648	1.0
ADORA1_Ki_train_2363	7.09	7.42914	1.0
ADORA1_Ki_train_3073	5.68	5.67069	1.0
ADORA1_Ki_train_3447	7.47	7.61049	1.0
ADORA1_Ki_train_0160	5.21	6.00656	1.0
ADORA1_Ki_train_1555	7.92	7.74206	1.0
ADORA1_Ki_train_0541	6.22	5.69365	1.0
ADORA1_Ki_train_2354	5.86	5.86072	1.0
ADORA1_Ki_train_0092	8.555	9.06004	1.0
ADORA1_Ki_train_0491	7.57	7.81384	1.0
ADORA1_Ki_train_1367	6.66	6.45657	1.0
ADORA1_Ki_train_0329	5.45	5.43237	1.0
ADORA1_Ki_train_0125	6.86	6.44125	1.0
ADORA1_Ki_train_2156	5.92	5.62314	1.0
ADORA1_Ki_train_0293	5.63	6.5784	1.0
ADORA1_Ki_train_1199	5.95	5.81394	1.0
ADORA1_Ki_train_0764	7.46	7.25576	1.0
ADORA1_Ki_train_2756	6.94	7.08792	1.0
ADORA1_Ki_train_3079	7.24	7.20055	1.0
ADORA1_Ki_train_1639	5.12	6.71152	1.0
ADORA1_Ki_train_0742	6.24	5.78975	1.0
ADORA1_Ki_train_1905	7.05	6.9034	1.0
ADORA1_Ki_train_0659	5.52	6.94585	1.0
ADORA1_Ki_train_3075	6.38	6.31825	1.0
ADORA1_Ki_train_1657	7.415	6.21107	1.0
ADORA1_Ki_train_0411	6.88	6.66616	1.0
ADORA1_Ki_train_0810	6.31	6.68044	1.0
ADORA1_Ki_train_3008	6.94	7.48182	1.0
ADORA1_Ki_train_0751	5.42	6.14234	1.0
ADORA1_Ki_train_1370	6.46	6.39414	1.0
ADORA1_Ki_train_3523	4.61	5.7783	1.0
ADORA1_Ki_train_3669	6.02	5.954	1.0
ADORA1_Ki_train_2502	6.3	5.83437	1.0
ADORA1_Ki_train_3580	6.25	5.78191	1.0
ADORA1_Ki_train_0113	5.61	6.16574	1.0
ADORA1_Ki_train_3336	5.8	6.11214	1.0
ADORA1_Ki_train_2293	5.92	6.2418	1.0
ADORA1_Ki_train_3540	7.04	6.91753	1.0
ADORA1_Ki_train_0874	6.71	6.94952	1.0
ADORA1_Ki_train_2861	5.41	5.76553	1.0
ADORA1_Ki_train_1322	6.68	6.10691	1.0
ADORA1_Ki_train_1231	8.21	8.0649	1.0
ADORA1_Ki_train_1913	8.39	7.80283	1.0
ADORA1_Ki_train_2656	8.36	8.34521	1.0
ADORA1_Ki_train_1377	4.9	5.02979	1.0
ADORA1_Ki_train_2546	6.58	6.42463	1.0
ADORA1_Ki_train_0814	6.75	6.50951	1.0
ADORA1_Ki_train_0618	6.2	6.47432	1.0
ADORA1_Ki_train_3174	8.28	7.47499	1.0
ADORA1_Ki_train_2929	7.03	7.4642	1.0
ADORA1_Ki_train_0238	6.61	6.52754	1.0
ADORA1_Ki_train_1915	6.03	6.84974	1.0
ADORA1_Ki_train_1476	6.08	6.04559	1.0
ADORA1_Ki_train_1343	7.6	7.88436	1.0
ADORA1_Ki_train_1300	7.39	7.10289	1.0
ADORA1_Ki_train_2159	6.69	6.48585	1.0
ADORA1_Ki_train_1135	7.3	6.79597	1.0
ADORA1_Ki_train_1621	6.33	6.2134	1.0
ADORA1_Ki_train_2345	6.89	7.02124	1.0
ADORA1_Ki_train_2462	5.26	5.45056	1.0
ADORA1_Ki_train_1154	6.05	6.56225	1.0
ADORA1_Ki_train_0904	9.0	7.96481	1.0
ADORA1_Ki_train_2787	6.91	7.07995	1.0
ADORA1_Ki_train_2770	6.6	6.72457	1.0
ADORA1_Ki_train_3488	6.67	6.09304	1.0
ADORA1_Ki_train_3264	6.8	6.91883	1.0
ADORA1_Ki_train_2481	7.58	7.05989	1.0
ADORA1_Ki_train_0962	7.7	7.21666	1.0
ADORA1_Ki_train_0823	6.71	6.16842	1.0
ADORA1_Ki_train_0937	6.54	6.64028	1.0
ADORA1_Ki_train_0623	6.6	5.67045	1.0
ADORA1_Ki_train_3293	5.35	6.23836	1.0
ADORA1_Ki_train_1468	7.09	6.27232	1.0
ADORA1_Ki_train_0054	6.0	5.62803	1.0
ADORA1_Ki_train_3643	6.68	6.40327	1.0
ADORA1_Ki_train_1005	8.44	6.03063	1.0
ADORA1_Ki_train_0629	5.77	6.11087	1.0
ADORA1_Ki_train_1802	7.38	7.27164	1.0
ADORA1_Ki_train_0909	6.32	6.56595	1.0
ADORA1_Ki_train_3483	7.25	7.07535	1.0
ADORA1_Ki_train_1179	6.84	6.51996	1.0
ADORA1_Ki_train_2517	5.3	6.03301	1.0
ADORA1_Ki_train_1281	6.74	6.65536	1.0
ADORA1_Ki_train_2909	7.64	7.37822	1.0
ADORA1_Ki_train_2511	5.18	6.06158	1.0
ADORA1_Ki_train_3002	5.3	6.14291	1.0
